"col_names","strategy","dataacquisition","lab","platform","sample","rep","batch","OlaColName","labcode","recode","longsp"
"T_L4_D5_01","Targeted","UPLC-MS/MS","L4","T_L4","D5","1","1","T_L4_D5_1_01","MBP","T_L4_1","T_L4_1_D5"
"T_L4_D5_02","Targeted","UPLC-MS/MS","L4","T_L4","D5","2","1","T_L4_D5_2_01","MBP","T_L4_1","T_L4_1_D5"
"T_L4_D5_03","Targeted","UPLC-MS/MS","L4","T_L4","D5","3","1","T_L4_D5_3_01","MBP","T_L4_1","T_L4_1_D5"
"T_L4_D6_01","Targeted","UPLC-MS/MS","L4","T_L4","D6","1","1","T_L4_D6_1_01","MBP","T_L4_1","T_L4_1_D6"
"T_L4_D6_02","Targeted","UPLC-MS/MS","L4","T_L4","D6","2","1","T_L4_D6_2_01","MBP","T_L4_1","T_L4_1_D6"
"T_L4_D6_03","Targeted","UPLC-MS/MS","L4","T_L4","D6","3","1","T_L4_D6_3_01","MBP","T_L4_1","T_L4_1_D6"
"T_L4_F7_01","Targeted","UPLC-MS/MS","L4","T_L4","F7","1","1","T_L4_F7_1_01","MBP","T_L4_1","T_L4_1_F7"
"T_L4_F7_02","Targeted","UPLC-MS/MS","L4","T_L4","F7","2","1","T_L4_F7_2_01","MBP","T_L4_1","T_L4_1_F7"
"T_L4_F7_03","Targeted","UPLC-MS/MS","L4","T_L4","F7","3","1","T_L4_F7_3_01","MBP","T_L4_1","T_L4_1_F7"
"T_L4_M8_01","Targeted","UPLC-MS/MS","L4","T_L4","M8","1","1","T_L4_M8_1_01","MBP","T_L4_1","T_L4_1_M8"
"T_L4_M8_02","Targeted","UPLC-MS/MS","L4","T_L4","M8","2","1","T_L4_M8_2_01","MBP","T_L4_1","T_L4_1_M8"
"T_L4_M8_03","Targeted","UPLC-MS/MS","L4","T_L4","M8","3","1","T_L4_M8_3_01","MBP","T_L4_1","T_L4_1_M8"
