"col_names","strategy","lab","sample","rep","batch"
"U_L2_D5_1","Untargeted","L2","D5",1,1
"U_L2_D5_2","Untargeted","L2","D5",2,1
"U_L2_D5_3","Untargeted","L2","D5",3,1
"U_L2_D6_1","Untargeted","L2","D6",1,1
"U_L2_D6_2","Untargeted","L2","D6",2,1
"U_L2_D6_3","Untargeted","L2","D6",3,1
"U_L2_F7_1","Untargeted","L2","F7",1,1
"U_L2_F7_2","Untargeted","L2","F7",2,1
"U_L2_F7_3","Untargeted","L2","F7",3,1
"U_L2_M8_1","Untargeted","L2","M8",1,1
"U_L2_M8_2","Untargeted","L2","M8",2,1
"U_L2_M8_3","Untargeted","L2","M8",3,1
